ma_lop,trong_so_qua_trinh,trong_so_giua_ki,trong_so_thuc_hanh,trong_so_cuoi_ki
IT001.O11,20,,40,40
MA006.O11,20,20,,60
MA003.O11,20,20,,60
IE005.O11,30,,,70
SS006.O11,,40,,60
IT002.O21,20,,30,50
IT003.O21,20,,40,40
MA004.O21,20,20,,60
MA005.O21,20,20,,60
IT012.O21,10,20,20,50
SS003.O23,50,,,50
SS009.O24,50,,,50
IT004.P11,,20,30,50
IT005.P11.CNVN,15,20,25,40
IT007.P11,15,15,20,50
SS007.P12,50,,,50
SS008.P15,50,,,50
IE101.P21,15,,35,50
IE103.P21,20,,30,50
IE108.P21,,20,30,50
SS004.P22,50,,,50
IE104.Q11.CNVN,20,,30,50
IE106.Q11.CNVN,20,,30,50
SS010.Q11.CNVN,50,,,50
IE307.Q12,20,,30,50
SE104.Q13,,,,
PE231.Q116,,,,
