Mã tỉnh;Tên tỉnh/TP mới
1;Thành phố Hà Nội
2;Tỉnh Bắc Ninh
3;Tỉnh Quảng Ninh
4;Tp Hải Phòng
5;Tỉnh Hưng Yên
6;Tỉnh Ninh Bình
7;Tỉnh Cao Bằng
8;Tỉnh Tuyên Quang
9;Tỉnh Lào Cai
10;Tỉnh Thái Nguyên
11;Tỉnh Lạng Sơn
12;Tỉnh Phú Thọ
13;Tỉnh Điện Biên
14;Tỉnh Lai Châu
15;Tỉnh Sơn La
16;Tỉnh Thanh Hóa
17;Tỉnh Nghệ An
18;Tỉnh Hà Tĩnh
19;Tỉnh Quảng Trị
20;Thành phố Huế
21;Tp Đà Nẵng
22;Tỉnh Quảng Ngãi
23;Tỉnh Khánh Hòa
24;Tỉnh Gia Lai
25;Tỉnh Đắk Lắk
26;Tỉnh Lâm Đồng
27;Tỉnh Tây Ninh
28;Tỉnh Đồng Nai
29;Tp Hồ Chí Minh
30;Tỉnh Vĩnh Long
31;Tỉnh Đồng Tháp
32;Tỉnh An Giang
33;Tp Cần Thơ
34;Tỉnh Cà Mau
